,Personal income,Compensation of employees,Wages and salaries,Private industries,Government,Supplements to wages and salaries,Employer contributions for employee pension and insurance funds1,Employer contributions for government social insurance,Proprietors' income with inventory valuation and capital consumption adjustments,Farm,Nonfarm,Rental income of persons with capital consumption adjustment,Personal income receipts on assets,Personal interest income,Personal dividend income,Personal current transfer receipts,Government social benefits to persons,Social security2,Medicare3,Medicaid,Unemployment insurance,Veterans' benefits,Other,"Other current transfer receipts, from business (net)","Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,Personal consumption expenditures,Personal interest payments4,Personal current transfer payments,To government,To the rest of the world (net),Equals: Personal saving,Personal saving as a percentage of disposable personal income,Addenda:,"Personal income excluding current transfer receipts, billions of chained (2012) dollars5",Disposable personal income:,"Total, billions of chained (2012) dollars5",Per capita:,Current dollars,Chained (2012) dollars,"Population (midperiod, thousands)",Percent change from preceding period:,"Disposable personal income, current dollars","Disposable personal income, chained (2012) dollars"
,9009.2,6050.1,4979.5,4177.7,801.8,1070.7,712.9,357.8,809.8,34.0,775.7,197.1,1528.9,1155.9,373.0,1155.6,1107.8,420.8,233.8,215.0,25.5,26.0,186.6,47.9,732.3,1301.9,7707.3,7315.0,6995.3,230.8,88.9,51.5,37.3,392.3,5.1,,9897.7,,9713.4,,27122,34182,284169,,6.4,3.3
,9032.4,6040.9,4961.4,4147.4,814.0,1079.5,721.6,358.0,827.7,32.5,795.2,202.6,1507.0,1139.8,367.2,1187.4,1139.1,422.7,240.4,230.1,28.4,26.3,191.3,48.3,733.1,1308.9,7723.6,7361.9,7042.3,229.1,90.6,52.5,38.1,361.7,4.7,,9840.8,,9688.4,,27116,34014,284838,,0.8,-1.0
,9009.7,6024.6,4935.9,4107.0,828.9,1088.6,731.2,357.4,845.6,32.6,813.0,204.8,1474.9,1109.1,365.8,1192.2,1145.2,428.4,245.8,217.4,33.1,26.4,194.1,47.0,732.4,1113.6,7896.1,7389.1,7070.3,226.2,92.5,53.4,39.2,507.0,6.4,,9801.2,,9899.7,,27649,34665,285584,,9.2,9.0
,8999.9,6037.8,4937.8,4094.4,843.3,1100.0,741.3,358.7,840.9,29.2,811.7,205.1,1416.0,1044.5,371.4,1235.2,1191.2,428.5,250.3,246.5,40.6,27.6,197.7,43.9,735.0,1231.8,7768.1,7497.9,7187.3,216.5,94.0,54.3,39.7,270.2,3.5,,9731.1,,9735.3,,27132,34003,286311,,-6.3,-6.5
,9041.5,6060.7,4945.9,4090.7,855.1,1114.9,753.2,361.6,859.5,17.7,841.8,207.3,1397.0,1011.5,385.5,1260.0,1221.0,442.9,254.1,244.9,42.8,28.6,207.6,39.1,743.1,1075.2,7966.4,7520.6,7217.7,207.8,95.1,55.2,40.0,445.7,5.6,,9732.7,,9963.9,,27764,34725,286935,,10.6,9.7
,9141.3,6129.1,4998.3,4130.2,868.2,1130.8,764.8,366.0,864.5,13.6,850.9,208.9,1408.1,1010.6,397.5,1282.3,1247.1,445.5,257.9,243.8,60.5,29.3,210.1,35.2,751.5,1051.0,8090.3,7606.2,7308.0,202.4,95.8,56.0,39.8,484.2,6.0,,9757.4,,10044.6,,28133,34929,287574,,6.4,3.3
,9188.4,6156.9,5012.1,4132.3,879.8,1144.8,777.3,367.5,872.9,21.8,851.2,207.7,1413.1,1010.8,402.2,1292.1,1259.9,448.1,261.6,251.1,56.9,29.9,212.3,32.3,754.3,1044.1,8144.2,7691.0,7397.1,197.3,96.6,56.8,39.8,453.2,5.6,,9753.2,,10059.5,,28249,34892,288303,,2.7,0.6
,9272.6,6193.7,5027.1,4138.7,888.4,1166.6,797.6,369.0,883.3,27.8,855.5,209.9,1436.3,1026.3,410.0,1306.4,1276.2,451.2,265.2,260.3,53.7,30.4,215.4,30.2,757.0,1038.4,8234.2,7767.3,7473.0,194.8,99.5,57.6,42.0,466.8,5.7,,9793.9,,10123.4,,28491,35028,289007,,4.5,2.6
,9313.6,6213.2,5027.0,4125.8,901.2,1186.2,812.2,374.0,876.3,29.9,846.4,218.7,1444.5,1034.9,409.6,1324.2,1294.6,458.1,268.9,260.7,51.8,31.2,224.0,29.6,763.3,1021.3,8292.3,7859.7,7567.2,194.4,98.1,58.5,39.6,432.6,5.2,,9748.0,,10117.5,,28633,34935,289609,,2.9,-0.2
,9425.6,6307.3,5101.4,4189.4,911.9,1205.9,826.2,379.8,892.4,37.3,855.1,223.2,1436.1,1025.0,411.1,1340.6,1312.6,463.1,273.4,260.1,55.2,31.7,229.0,28.0,773.9,1020.8,8404.8,7957.7,7661.5,196.3,100.0,59.7,40.3,447.1,5.3,,9854.8,,10244.6,,28957,35295,290253,,5.5,5.1
,9559.0,6393.7,5168.7,4251.0,917.8,1225.0,839.9,385.0,905.3,39.8,865.5,227.5,1455.3,1020.7,434.5,1361.0,1335.5,464.8,279.0,271.7,54.2,32.2,233.7,25.5,783.8,950.7,8608.3,8117.1,7820.9,196.8,99.4,61.1,38.3,491.2,5.7,,9927.1,,10424.0,,29584,35825,290974,,10.0,7.2
,9695.8,6500.2,5256.0,4331.0,924.9,1244.3,852.8,391.4,916.1,41.5,874.5,239.0,1473.4,1000.0,473.4,1363.2,1341.2,468.1,285.5,265.7,51.5,32.2,238.2,22.0,796.1,1021.3,8674.5,8218.8,7913.5,198.5,106.9,62.7,44.1,455.7,5.3,,10040.8,,10452.8,,29741,35838,291669,,3.1,1.1
,9792.4,6541.3,5274.5,4337.9,936.6,1266.8,868.0,398.8,946.5,56.3,890.3,243.0,1473.6,960.1,513.5,1397.1,1379.6,479.7,293.0,283.4,42.3,33.3,248.0,17.5,809.2,1012.3,8780.1,8356.6,8048.8,200.5,107.3,64.8,42.5,423.5,4.8,,10039.0,,10499.2,,30045,35927,292237,,5.0,1.8
,9957.8,6668.5,5380.7,4432.5,948.3,1287.7,881.6,406.1,963.0,55.3,907.8,243.4,1490.5,949.5,541.0,1416.0,1400.6,484.8,300.4,293.0,35.9,33.7,252.7,15.4,823.6,1026.8,8931.0,8460.5,8147.1,202.8,110.6,66.4,44.3,470.5,5.3,,10146.0,,10608.3,,30494,36221,292875,,7.1,4.2
,10103.6,6803.7,5492.8,4536.1,956.6,1310.9,897.1,413.9,964.2,47.1,917.1,241.8,1507.5,960.8,546.7,1425.5,1409.8,486.2,308.6,288.3,34.7,34.4,257.7,15.7,839.2,1064.4,9039.2,8603.8,8283.3,207.9,112.6,67.7,45.0,435.4,4.8,,10257.4,,10684.3,,30787,36390,293603,,4.9,2.9
,10323.3,6864.5,5536.1,4568.2,967.9,1328.4,912.2,416.2,977.8,50.9,926.8,242.9,1636.7,991.2,645.5,1446.3,1427.9,491.4,315.4,294.5,32.9,34.8,258.8,18.4,844.9,1091.6,9231.7,8779.3,8448.6,217.9,112.8,68.7,44.1,452.4,4.9,,10403.6,,10819.3,,31365,36759,294334,,8.8,5.2
,10345.2,6926.3,5574.6,4596.8,977.8,1351.6,930.6,421.1,957.1,47.6,909.5,233.7,1598.1,1044.0,554.1,1488.1,1464.4,506.5,323.2,301.3,32.1,36.0,265.4,23.7,858.1,1172.3,9172.9,8891.0,8551.7,227.7,111.6,70.3,41.3,281.9,3.1,,10320.2,,10688.3,,31099,36237,294957,,-2.5,-4.8
,10516.8,7005.6,5637.8,4651.7,986.1,1367.7,943.1,424.6,964.1,51.2,913.0,231.2,1669.6,1100.8,568.7,1512.6,1486.0,512.9,329.2,310.8,30.9,36.2,266.0,26.7,866.3,1196.3,9320.5,9054.8,8701.1,234.9,118.8,71.2,47.7,265.6,2.9,,10425.7,,10792.0,,31532,36510,295588,,6.6,3.9
,10686.1,7122.6,5738.3,4742.8,995.5,1384.4,953.4,430.9,988.1,49.6,938.5,213.6,1713.0,1139.0,573.9,1528.3,1501.0,514.0,335.1,300.1,31.6,36.6,283.6,27.3,879.5,1225.5,9460.6,9229.1,8868.1,241.8,119.3,72.1,47.2,231.4,2.4,,10490.4,,10837.2,,31925,36570,296340,,6.1,1.7
,10871.7,7209.9,5814.8,4809.0,1005.8,1395.2,959.5,435.6,1007.2,43.3,963.9,206.0,1800.1,1185.8,614.3,1537.9,1512.3,517.5,341.0,305.4,32.5,36.8,279.0,25.6,889.5,1255.8,9615.9,9322.9,8955.3,244.9,122.7,73.0,49.7,293.0,3.0,,10607.4,,10928.0,,32368,36784,297086,,6.7,3.4
,11181.1,7379.7,5971.4,4956.8,1014.6,1408.3,964.7,443.6,1049.1,34.8,1014.2,194.5,1882.7,1198.3,684.4,1588.3,1566.7,538.0,389.6,291.3,30.3,38.2,279.3,21.6,913.2,1320.5,9860.6,9474.0,9100.2,257.8,116.1,74.4,41.7,386.6,3.9,,10845.1,,11147.9,,33119,37442,297736,,10.6,8.3
,11336.3,7428.0,6012.6,4986.8,1025.8,1415.4,970.1,445.3,1052.1,33.9,1018.2,183.4,1988.0,1272.8,715.2,1602.8,1583.2,543.7,395.6,294.9,29.5,38.7,280.8,19.7,918.1,1351.3,9985.0,9612.8,9227.6,258.4,126.8,74.9,51.9,372.3,3.7,,10908.4,,11190.4,,33461,37500,298408,,5.1,1.5
,11435.7,7487.3,6061.9,5019.9,1041.9,1425.4,978.5,447.0,1049.0,33.7,1015.3,177.8,2015.8,1284.2,731.7,1628.3,1608.5,546.1,402.1,308.7,30.6,39.1,281.8,19.9,922.6,1358.6,10077.1,9750.4,9353.8,271.1,125.6,75.5,50.0,326.6,3.2,,10912.7,,11212.8,,33682,37478,299180,,3.7,0.8
,11585.7,7623.6,6181.1,5125.3,1055.8,1442.6,989.2,453.3,1053.3,34.8,1018.5,168.7,2040.4,1280.5,759.9,1635.9,1613.8,548.6,409.1,301.4,31.1,39.5,284.0,22.1,936.2,1397.5,10188.3,9839.1,9427.4,280.5,131.3,76.3,54.9,349.1,3.4,,11089.6,,11355.3,,33967,37858,299946,,4.5,5.2
,11824.1,7806.0,6343.8,5272.1,1071.6,1462.2,1002.5,459.7,1017.5,43.1,974.4,162.5,2087.1,1308.7,778.4,1706.7,1680.2,568.3,416.4,332.5,32.3,40.5,290.2,26.5,955.7,1466.5,10357.5,9988.2,9572.1,280.0,136.1,78.0,58.1,369.3,3.6,,11174.3,,11439.5,,34455,38054,300609,,6.8,3.0
,11988.7,7845.2,6370.3,5289.8,1080.5,1474.8,1015.0,459.8,997.9,38.5,959.3,180.3,2212.3,1393.3,819.0,1710.4,1680.4,575.0,424.1,314.7,31.8,41.7,293.0,30.0,957.3,1495.9,10492.8,10109.8,9678.7,293.6,137.5,78.8,58.6,383.0,3.6,,11256.5,,11491.3,,34827,38141,301284,,5.3,1.8
,12069.2,7885.2,6397.6,5304.0,1093.6,1487.6,1026.8,460.9,986.8,38.8,947.9,193.6,2231.6,1401.8,829.8,1732.7,1700.2,578.2,432.0,319.6,32.8,41.9,295.6,32.5,960.6,1498.9,10570.4,10232.7,9798.4,295.3,139.1,79.6,59.5,337.6,3.2,,11256.6,,11511.2,,34994,38109,302062,,3.0,0.7
,12203.4,7977.5,6473.9,5365.5,1108.5,1503.6,1037.3,466.3,979.8,46.3,933.5,208.7,2246.9,1413.1,833.8,1762.7,1728.6,581.1,440.3,329.9,34.0,42.6,300.8,34.1,972.1,1508.6,10694.8,10374.1,9937.1,296.1,140.9,80.3,60.6,320.7,3.0,,11255.5,,11529.3,,35316,38072,302829,,4.8,0.6
,12335.3,8054.9,6539.4,5414.6,1124.8,1515.5,1045.8,469.7,964.1,48.0,916.1,249.2,2248.2,1384.2,864.0,1802.9,1768.2,597.3,448.8,331.6,36.3,44.0,310.3,34.7,984.0,1535.1,10800.2,10433.3,10004.4,284.6,144.2,80.5,63.7,366.9,3.4,,11262.4,,11548.8,,35586,38053,303494,,4.0,0.7
,12669.4,8054.9,6532.7,5396.7,1136.0,1522.2,1051.9,470.4,967.2,44.2,923.1,280.9,2204.2,1378.0,826.3,2148.4,2113.0,602.9,457.3,339.2,38.2,44.7,630.8,35.4,986.2,1552.5,11117.0,10549.4,10129.9,273.4,146.2,81.0,65.2,567.5,5.1,,11141.6,,11772.7,,36550,38706,304160,,12.3,8.0
,12508.6,8074.4,6547.2,5396.0,1151.2,1527.2,1054.4,472.8,956.6,33.8,922.8,305.3,2222.5,1425.8,796.7,1941.4,1905.3,608.9,465.9,340.8,58.2,45.5,386.0,36.1,991.5,1497.5,11011.1,10578.1,10159.1,272.3,146.7,81.2,65.6,433.0,3.9,,11072.3,,11537.5,,36114,37840,304902,,-3.8,-7.8
,12396.9,8043.2,6517.2,5353.8,1163.4,1526.0,1053.3,472.7,950.7,29.7,921.0,325.7,2141.3,1409.8,731.5,1927.8,1890.8,613.1,474.5,341.8,71.9,45.9,343.7,36.9,991.7,1444.9,10951.9,10306.0,9906.9,257.7,141.3,81.2,60.2,646.0,5.9,,11147.5,,11661.6,,35836,38158,305616,,-2.1,4.4
,12057.0,7730.4,6225.6,5062.8,1162.8,1504.8,1048.8,456.0,913.2,22.9,890.3,326.6,2006.9,1341.6,665.3,2039.7,2001.9,651.9,482.9,358.4,101.6,49.6,357.5,37.8,959.8,1202.4,10854.7,10214.0,9815.0,254.3,144.8,80.6,64.2,640.7,5.9,,10739.0,,11636.7,,35445,37999,306237,,-3.5,-0.9
,12087.3,7762.0,6254.5,5078.4,1176.0,1507.5,1048.1,459.4,901.5,23.6,878.0,335.9,1875.6,1314.0,561.6,2178.6,2140.0,662.4,490.4,368.9,130.3,50.4,437.5,38.6,966.3,1131.1,10956.2,10203.1,9805.5,253.0,144.5,80.3,64.3,753.2,6.9,,10580.6,,11699.1,,35704,38124,306866,,3.8,2.2
,12033.3,7746.5,6237.2,5058.2,1179.0,1509.3,1051.5,457.8,934.5,26.7,907.9,355.8,1783.9,1279.1,504.8,2176.3,2136.9,667.9,496.7,378.2,144.4,52.1,397.6,39.4,963.8,1135.3,10898.0,10335.7,9939.4,252.4,144.0,79.9,64.1,562.2,5.2,,10453.3,,11557.3,,35432,37576,307573,,-2.1,-4.8
,12144.0,7797.2,6279.2,5096.1,1183.1,1518.1,1058.9,459.2,1001.3,35.5,965.7,372.0,1748.4,1268.1,480.3,2192.3,2152.1,675.7,501.8,372.8,148.6,54.1,399.2,40.2,967.2,1140.7,11003.3,10400.7,10005.0,251.7,144.0,79.5,64.5,602.6,5.5,,10473.1,,11579.7,,35692,37562,308285,,3.9,0.8
,12321.2,7767.6,6233.2,5047.5,1185.8,1534.4,1070.3,464.1,1055.8,30.4,1025.4,404.9,1763.3,1259.4,503.9,2303.2,2262.2,678.9,506.0,382.1,159.3,55.9,480.0,41.0,973.6,1191.8,11129.4,10495.1,10101.8,248.3,144.9,79.5,65.4,634.3,5.7,,10502.3,,11667.4,,36029,37771,308901,,4.7,3.1
,12544.7,7910.6,6360.7,5164.1,1196.6,1549.9,1080.4,469.5,1102.7,34.0,1068.7,428.9,1775.8,1252.2,523.6,2311.1,2268.7,689.3,510.5,385.7,141.2,57.2,484.9,42.4,984.5,1213.2,11331.4,10596.1,10208.1,244.4,143.6,79.3,64.3,735.4,6.5,,10711.7,,11860.9,,36613,38324,309488,,7.5,6.8
